Object,Close-Approach (CA) Date,CA DistanceNominal (km),CA DistanceMinimum (km),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,diameter_m,is_potentially_hazardous,asteroid_lat,asteroid_lon,closest_delta_km,closest_deldot_kms,closest_date_time,delta_diff_percent
(2025 JL2),2025-May-14 17:24 ± < 00:01,12394051,12371660,29.54,29.54,21.6,130 m -  290 m,0,210.0,True,11.365133019307608,256.1149264753431,12393698.295206834,0.0018632,2025-May-14 17:24,0.17813531253553389
(2025 DJ53),2025-May-09 22:13 ± < 00:01,12546338,12546297,17.5,17.5,18.8,470 m -  1.0 km,1,,True,-66.1120922250246,298.34559857982265,12545594.52619132,0.0019283,2025-May-09 22:13,0.00559905292119045
(2008 QU3),2025-Aug-08 20:05 ± < 00:01,12707301,12707185,10.86,10.85,20.6,200 m -  440 m,0,320.0,True,24.65362003895493,193.26092009125898,12708079.523112327,0.0004783,2025-Aug-08 20:05,0.007039506486502403
(2024 WL15),2024-Nov-26 22:52 ± < 00:01,12741553,12724579,17.27,17.27,21.3,150 m -  330 m,0,240.0,True,37.015748917398184,184.55343641531417,12740527.941970903,0.0004831,2024-Nov-26 22:52,0.12533964362124222
(2003 TR9),2024-Oct-10 13:02 ± < 00:01,12755047,12754994,26.22,26.22,21.3,140 m -  320 m,0,230.0,True,-7.128592391172634,279.3884095505723,12756253.436770696,0.0034134,2024-Oct-10 13:02,0.009874067919563058
(2024 FP2),2025-Apr-22 11:16 ± < 00:01,12802208,12802147,16.65,16.65,21.3,150 m -  330 m,0,240.0,True,-37.16501436435496,197.37133810183164,12802212.391651629,0.001177,2025-Apr-22 11:16,0.0005107866018765365
(2020 XT5),2025-Mar-12 22:00 ± < 00:01,12936187,12936146,16.92,16.92,19.5,340 m -  750 m,1,545.0,True,12.086244416017875,299.3267967705869,12935386.70297662,0.0001473,2025-Mar-12 22:00,0.005869576791883574
(2007 MK6),2025-Jun-13 23:18 ± < 00:01,13073708,13073671,28.9,28.9,20.2,240 m -  550 m,1,395.0,True,56.5908869726109,262.84562370189843,13073767.180113118,0.0033275,2025-Jun-13 23:18,0.0007356779371160701
(2020 KR4),2025-Jun-11 15:23 ± < 00:01,13213182,13213112,31.86,31.85,21.0,170 m -  380 m,0,275.0,True,8.048459413895605,193.55170651614708,13214374.404168721,0.0040508,2025-Jun-11 15:23,0.009554177461912745
163899 (2003 SD220),2024-Dec-02 12:36 ± < 00:01,13215342,13215342,5.48,5.48,17.6,0.791±0.025 km,1,,True,40.629153416177836,328.26010810322737,13216201.707905898,0.0004545,2024-Dec-02 12:36,0.006505377658011957
(2021 VO6),2025-Jun-15 16:59 ± < 00:01,13248958,13248582,16.19,16.18,21.1,160 m -  350 m,0,255.0,True,2.1643299797347706,152.8727568148574,13250162.05241749,0.0009928,2025-Jun-15 16:59,0.011926200234037359
66146 (1998 TU3),2024-Nov-05 19:47 ± < 00:01,13290711,13290707,11.53,11.53,14.4,2.864±1.165 km,3,,True,-69.2763294365493,28.061976031985967,13291210.38266902,0.0006893,2024-Nov-05 19:47,0.0037874784917043473
