Object,Close-Approach (CA) Date,CA DistanceNominal (km),CA DistanceMinimum (km),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,diameter_m,is_potentially_hazardous
(2023 FC6),2025-May-03 18:40 ± < 00:01,9694857,9694815,11.46,11.45,20.6,200 m -  450 m,1,325.0,True
(2011 EL11),2025-Jan-24 19:22 ± < 00:01,9810798,9810771,21.91,21.91,19.9,280 m -  630 m,1,455.0,True
(2022 BJ),2025-Jul-05 17:33 ± < 00:01,9857080,9856962,23.64,23.64,21.5,130 m -  300 m,0,215.0,True
(2019 AQ11),2025-Jul-14 15:44 ± 4_09:51,9936605,9889306,20.74,20.74,21.9,110 m -  250 m,0,180.0,True
(2016 LT),2025-Jul-01 03:58 ± < 00:01,9892080,9892042,9.51,9.51,21.6,130 m -  290 m,0,210.0,True
(2014 QX432),2025-Jul-07 14:51 ± < 00:01,9902862,9902828,20.25,20.25,19.9,280 m -  630 m,1,455.0,True
618350 (2021 PS2),2025-Mar-22 17:43 ± < 00:01,10126359,10126338,11.49,11.48,19.9,280 m -  620 m,1,450.0,True
(2025 OE13),2025-Sep-01 17:57 ± < 00:01,10255298,10252978,16.58,16.58,21.9,110 m -  250 m,0,180.0,True
474163 (1999 SO5),2025-Apr-03 12:29 ± < 00:01,10390262,10390228,7.47,7.47,20.8,180 m -  400 m,1,290.0,True
804325 (2015 XF352),2025-Apr-26 14:07 ± < 00:01,10433838,10433804,15.32,15.32,21.4,140 m -  310 m,0,225.0,True
455176 (1999 VF22),2025-Feb-24 00:28 ± < 00:01,10466235,10466224,23.61,23.61,20.7,190 m -  430 m,1,310.0,True
154276 (2002 SY50),2025-May-15 18:36 ± < 00:01,10540966,10540947,22.94,22.94,17.6,1.060±0.346 km,2,,True
(2009 BE58),2024-Nov-03 09:24 ± < 00:01,10625027,10624985,19.64,19.63,21.7,120 m -  270 m,0,195.0,True
437844 (1999 MN),2025-Jul-05 15:32 ± < 00:01,10681754,10681734,13.58,13.58,21.0,170 m -  370 m,0,270.0,True
(2025 OJ),2025-Jul-15 11:31 ± < 00:01,10743636,10705491,17.12,17.12,22.0,110 m -  240 m,0,175.0,True
(2024 WP15),2024-Sep-20 04:36 ±    00:06,10725687,10720693,9.86,9.86,21.9,110 m -  240 m,0,175.0,True
265196 (2004 BW58),2025-Jan-22 19:47 ± < 00:01,10773852,10773831,10.5,10.5,18.8,0.361±0.128 km,1,,True
(2014 HQ124),2025-Jun-06 23:00 ± < 00:01,10816894,10816846,15.05,15.04,18.9,0.325±0.07 km,1,,True
(2024 YU4),2025-Feb-07 22:47 ± < 00:01,11229778,11229768,29.14,29.14,19.0,410 m -  920 m,1,665.0,True
(2025 OP),2025-Jul-19 11:21 ± < 00:01,11548789,11362643,23.69,23.68,21.8,120 m -  260 m,0,190.0,True
(2024 YY3),2024-Dec-22 03:31 ± < 00:01,11410425,11404213,23.47,23.47,21.0,170 m -  370 m,0,270.0,True
(2024 TB22),2024-Oct-18 01:51 ± < 00:01,11428361,11428339,22.0,21.99,19.2,390 m -  860 m,1,625.0,True
513138 (2002 CY58),2025-Aug-07 10:33 ± < 00:01,11467562,11467517,11.7,11.7,21.0,160 m -  370 m,0,265.0,True
527715 (2007 YQ56),2025-Jun-24 03:42 ± < 00:01,11514602,11514601,14.79,14.78,20.0,270 m -  610 m,1,440.0,True
(2025 MY89),2025-Jul-18 21:26 ± < 00:01,11554112,11551341,30.42,30.42,19.6,310 m -  700 m,1,505.0,True
66008 (1998 QH2),2025-Mar-09 22:19 ± < 00:01,11613385,11613384,34.08,34.08,15.9,1.484±0.279 km,2,,True
35107 (1991 VH),2025-Aug-02 03:26 ± < 00:01,11689295,11689294,8.67,8.67,16.9,0.929±0.035 km,2,,True
(2008 SC),2024-Sep-20 18:30 ± < 00:01,11766772,11766678,25.83,25.83,21.8,120 m -  260 m,0,190.0,True
(2016 XC18),2025-Jun-18 05:23 ± < 00:01,11910041,11909851,17.55,17.55,22.0,110 m -  240 m,0,175.0,True
803401 (2015 NS13),2025-Jan-14 19:28 ± < 00:01,12016268,12016242,11.55,11.55,20.0,270 m -  600 m,1,435.0,True
